"Reaction Groups";"Fatal";"Not Recovered/Not Resolved";"Not Specified";"Recovered/Resolved";"Recovered/Resolved With Sequelae";"Recovering/Resolving";"Unknown";_drug
"Blood and lymphatic system disorders";57;2017;0;1294;19;1074;818;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Cardiac disorders";667;2163;0;2331;87;966;1930;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Congenital, familial and genetic disorders";2;36;0;29;3;2;40;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Ear and labyrinth disorders";1;1725;0;764;26;368;550;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Endocrine disorders";2;100;0;37;2;21;54;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Eye disorders";18;1626;0;1193;46;445;965;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Gastrointestinal disorders";236;5392;0;10594;125;4363;3520;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"General disorders and administration site conditions";2421;22303;0;32453;301;17623;11775;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Hepatobiliary disorders";24;148;0;77;1;60;130;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Immune system disorders";11;382;0;942;14;270;762;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Infections and infestations";407;2418;0;1899;50;980;2464;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Injury, poisoning and procedural complications";118;901;0;2632;15;175;2135;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Investigations";119;1364;0;1878;31;732;1162;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Metabolism and nutrition disorders";144;736;0;735;15;231;770;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Musculoskeletal and connective tissue disorders";127;10236;0;13719;141;7355;4181;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";37;131;0;29;1;4;118;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Nervous system disorders";635;13351;0;19540;310;7925;7923;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Pregnancy, puerperium and perinatal conditions";6;91;0;269;11;18;134;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Product issues";0;4;0;30;0;0;20;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Psychiatric disorders";110;1497;0;1691;28;427;1544;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Renal and urinary disorders";107;434;0;432;12;120;507;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Reproductive system and breast disorders";3;1325;0;863;28;468;663;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Respiratory, thoracic and mediastinal disorders";599;3560;0;3415;69;1295;3091;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Skin and subcutaneous tissue disorders";56;4568;0;4892;64;2566;3008;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Social circumstances";25;551;0;222;3;23;334;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Surgical and medical procedures";69;198;0;204;2;23;378;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Vascular disorders";241;1997;0;2279;50;795;1851;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Blood and lymphatic system disorders";153;8762;0;7303;228;6277;3298;"TOZINAMERAN "
"Cardiac disorders";1717;5903;0;8255;640;5339;4827;"TOZINAMERAN "
"Congenital, familial and genetic disorders";20;81;0;37;11;30;68;"TOZINAMERAN "
"Ear and labyrinth disorders";8;4816;0;3655;244;2370;1856;"TOZINAMERAN "
"Endocrine disorders";5;278;0;85;20;149;162;"TOZINAMERAN "
"Eye disorders";28;4538;0;4587;308;2970;2967;"TOZINAMERAN "
"Gastrointestinal disorders";480;17945;0;38094;885;18980;11049;"TOZINAMERAN "
"General disorders and administration site conditions";3250;58075;0;117987;1929;58467;40773;"TOZINAMERAN "
"Hepatobiliary disorders";54;236;0;191;27;303;281;"TOZINAMERAN "
"Immune system disorders";64;1085;0;4809;132;1883;2209;"TOZINAMERAN "
"Infections and infestations";1123;7460;0;6621;439;6545;10142;"TOZINAMERAN "
"Injury, poisoning and procedural complications";175;1399;0;1681;105;1014;8035;"TOZINAMERAN "
"Investigations";357;4804;0;8281;267;4340;6158;"TOZINAMERAN "
"Metabolism and nutrition disorders";204;1615;0;2013;98;1279;1839;"TOZINAMERAN "
"Musculoskeletal and connective tissue disorders";144;32297;0;53785;1054;28050;15803;"TOZINAMERAN "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";66;231;0;45;12;62;326;"TOZINAMERAN "
"Nervous system disorders";1255;41916;0;71253;2529;35678;24067;"TOZINAMERAN "
"Pregnancy, puerperium and perinatal conditions";35;161;0;290;100;183;416;"TOZINAMERAN "
"Product issues";1;23;0;18;2;13;106;"TOZINAMERAN "
"Psychiatric disorders";153;4320;0;5658;217;2956;4334;"TOZINAMERAN "
"Renal and urinary disorders";194;808;0;797;64;566;860;"TOZINAMERAN "
"Reproductive system and breast disorders";3;7559;0;4246;220;2697;4077;"TOZINAMERAN "
"Respiratory, thoracic and mediastinal disorders";1355;10558;0;13754;671;9439;8412;"TOZINAMERAN "
"Skin and subcutaneous tissue disorders";101;11961;0;16844;424;10069;8300;"TOZINAMERAN "
"Social circumstances";13;504;0;349;16;151;687;"TOZINAMERAN "
"Surgical and medical procedures";31;130;0;157;29;108;381;"TOZINAMERAN "
"Vascular disorders";489;5994;0;8772;454;5555;5215;"TOZINAMERAN "
"Blood and lymphatic system disorders";214;4376;0;2568;137;2571;2096;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Cardiac disorders";594;3575;0;6229;487;3610;2494;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Vascular disorders";369;6412;0;6527;431;5795;4927;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
