"Reaction Groups";"Fatal";"Not Recovered/Not Resolved";"Not Specified";"Recovered/Resolved";"Recovered/Resolved With Sequelae";"Recovering/Resolving";"Unknown";_drug
"Blood and lymphatic system disorders";135;7498;0;6743;197;5704;2915;"TOZINAMERAN "
"Cardiac disorders";1591;4718;0;7428;517;4483;4194;"TOZINAMERAN "
"Congenital, familial and genetic disorders";16;68;0;35;9;29;54;"TOZINAMERAN "
"Ear and labyrinth disorders";8;4083;0;3321;209;2102;1634;"TOZINAMERAN "
"Endocrine disorders";5;215;0;71;17;128;140;"TOZINAMERAN "
"Eye disorders";24;3833;0;4148;252;2602;2605;"TOZINAMERAN "
"Gastrointestinal disorders";454;15634;0;34834;784;17084;9951;"TOZINAMERAN "
"General disorders and administration site conditions";3013;50608;0;108273;1698;52594;35853;"TOZINAMERAN "
"Hepatobiliary disorders";49;191;0;156;23;261;237;"TOZINAMERAN "
"Immune system disorders";58;904;0;4391;119;1736;2000;"TOZINAMERAN "
"Infections and infestations";1037;6374;0;5732;366;5644;8427;"TOZINAMERAN "
"Injury, poisoning and procedural complications";158;1217;0;1498;89;898;6791;"TOZINAMERAN "
"Investigations";342;4107;0;7367;229;3834;5515;"TOZINAMERAN "
"Metabolism and nutrition disorders";188;1370;0;1829;84;1151;1634;"TOZINAMERAN "
"Musculoskeletal and connective tissue disorders";133;28312;0;49638;933;25523;14231;"TOZINAMERAN "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";51;196;0;39;10;54;261;"TOZINAMERAN "
"Nervous system disorders";1171;36126;0;65392;2221;32045;21580;"TOZINAMERAN "
"Pregnancy, puerperium and perinatal conditions";29;119;0;234;81;137;329;"TOZINAMERAN "
"Product issues";1;20;0;17;2;12;100;"TOZINAMERAN "
"Psychiatric disorders";141;3612;0;5224;190;2577;3819;"TOZINAMERAN "
"Renal and urinary disorders";169;663;0;712;48;475;774;"TOZINAMERAN "
"Reproductive system and breast disorders";3;4951;0;2760;162;1800;2901;"TOZINAMERAN "
"Respiratory, thoracic and mediastinal disorders";1268;8933;0;12427;571;8302;7546;"TOZINAMERAN "
"Skin and subcutaneous tissue disorders";92;10187;0;15353;370;9018;7388;"TOZINAMERAN "
"Social circumstances";13;397;0;302;13;129;572;"TOZINAMERAN "
"Surgical and medical procedures";28;106;0;121;22;91;284;"TOZINAMERAN "
"Vascular disorders";439;5161;0;8040;371;5000;4705;"TOZINAMERAN "
"Blood and lymphatic system disorders";194;4279;0;2484;126;2485;1974;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Cardiac disorders";550;3382;0;6061;450;3469;2355;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Congenital, familial and genetic disorders";3;52;0;25;2;25;30;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Ear and labyrinth disorders";0;4581;0;2800;221;2184;1682;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Endocrine disorders";4;187;0;79;8;106;91;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Eye disorders";19;5667;0;5202;328;3508;2733;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Gastrointestinal disorders";241;20161;0;44384;1252;22184;13037;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"General disorders and administration site conditions";1166;63635;0;132793;3245;72903;42641;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Hepatobiliary disorders";44;233;0;124;10;194;196;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Immune system disorders";19;690;0;1212;70;922;915;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Infections and infestations";298;5890;0;7288;516;6429;3248;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Injury, poisoning and procedural complications";130;2292;0;2170;121;1633;4381;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Investigations";108;4308;0;9059;224;4110;3353;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Metabolism and nutrition disorders";65;3139;0;4069;143;2773;1265;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Musculoskeletal and connective tissue disorders";66;42072;0;60343;1800;35819;15943;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";15;138;0;64;3;99;170;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Nervous system disorders";755;52916;0;86859;3639;47617;30963;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Pregnancy, puerperium and perinatal conditions";9;50;0;115;15;62;153;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Product issues";1;56;0;26;4;21;38;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Psychiatric disorders";40;4711;0;6440;257;3751;3670;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Renal and urinary disorders";45;949;0;1203;62;693;599;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Reproductive system and breast disorders";1;5969;0;3125;235;2032;2109;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Respiratory, thoracic and mediastinal disorders";560;9816;0;9597;609;8148;6690;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
