"Reaction Groups";"Fatal";"Not Recovered/Not Resolved";"Not Specified";"Recovered/Resolved";"Recovered/Resolved With Sequelae";"Recovering/Resolving";"Unknown";_drug
"Blood and lymphatic system disorders";59;2103;0;1342;21;1118;862;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Cardiac disorders";687;2258;0;2415;97;1058;2017;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Congenital, familial and genetic disorders";2;36;0;29;3;2;42;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Ear and labyrinth disorders";1;1783;0;786;27;394;569;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Endocrine disorders";2;103;0;38;2;22;57;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Eye disorders";18;1659;0;1228;52;471;998;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Gastrointestinal disorders";237;5641;0;11163;136;4662;3635;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"General disorders and administration site conditions";2461;23516;0;34204;324;18754;12256;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Hepatobiliary disorders";24;153;0;79;2;65;136;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Immune system disorders";11;391;0;981;18;289;815;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Infections and infestations";416;2508;0;1960;54;1030;2576;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Injury, poisoning and procedural complications";121;914;0;2742;15;186;2200;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Investigations";120;1429;0;1974;32;777;1196;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Metabolism and nutrition disorders";145;756;0;757;17;243;794;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Musculoskeletal and connective tissue disorders";129;10877;0;14516;154;7821;4359;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";37;132;0;32;1;4;127;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Nervous system disorders";650;14050;0;20447;335;8490;8202;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Pregnancy, puerperium and perinatal conditions";6;92;0;273;11;20;142;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Product issues";1;5;0;32;0;0;21;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Psychiatric disorders";110;1533;0;1735;29;457;1595;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Renal and urinary disorders";107;449;0;441;12;129;524;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Reproductive system and breast disorders";3;1508;0;982;30;528;729;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Respiratory, thoracic and mediastinal disorders";614;3685;0;3520;76;1377;3216;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Skin and subcutaneous tissue disorders";57;4732;0;5047;71;2683;3125;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Social circumstances";25;564;0;227;3;26;350;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Surgical and medical procedures";69;204;0;214;2;28;390;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Vascular disorders";246;2070;0;2340;54;840;1903;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Blood and lymphatic system disorders";221;4411;0;2589;141;2588;2131;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Cardiac disorders";603;3616;0;6281;501;3654;2532;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Congenital, familial and genetic disorders";5;56;0;30;2;28;37;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Ear and labyrinth disorders";1;4845;0;2894;240;2280;1770;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Endocrine disorders";4;207;0;84;10;117;103;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Eye disorders";22;5932;0;5381;358;3649;2866;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Gastrointestinal disorders";270;20675;0;45426;1302;22776;13391;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"General disorders and administration site conditions";1278;65377;0;136149;3389;74632;44280;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Hepatobiliary disorders";51;250;0;128;11;206;218;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Infections and infestations";330;6198;0;7637;550;6743;3865;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Injury, poisoning and procedural complications";141;2428;0;2245;142;1689;4706;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Investigations";121;4548;0;9288;241;4281;3611;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Metabolism and nutrition disorders";73;3200;0;4174;146;2839;1318;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Musculoskeletal and connective tissue disorders";74;43338;0;61831;1887;36702;16597;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";16;147;0;68;7;104;181;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Nervous system disorders";840;54605;0;89059;3826;48960;32033;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Pregnancy, puerperium and perinatal conditions";11;59;0;128;17;67;171;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Product issues";1;61;0;29;5;22;40;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Psychiatric disorders";47;4941;0;6668;270;3884;3823;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Renal and urinary disorders";48;1009;0;1247;72;718;652;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Reproductive system and breast disorders";2;6454;0;3337;258;2146;2272;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Respiratory, thoracic and mediastinal disorders";629;10249;0;9943;651;8504;7030;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
