"Reaction Groups";"Fatal";"Not Recovered/Not Resolved";"Not Specified";"Recovered/Resolved";"Recovered/Resolved With Sequelae";"Recovering/Resolving";"Unknown";_drug
"Blood and lymphatic system disorders";50;1582;0;1058;18;835;645;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Cardiac disorders";612;1719;0;1962;63;679;1639;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Congenital, familial and genetic disorders";1;32;0;27;3;2;24;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Ear and labyrinth disorders";0;1465;0;653;20;297;472;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Endocrine disorders";1;81;0;30;2;16;47;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Eye disorders";13;1362;0;1034;38;344;809;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Gastrointestinal disorders";202;4397;0;8919;95;3489;2972;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"General disorders and administration site conditions";2203;18400;0;27093;226;14353;9323;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Hepatobiliary disorders";20;128;0;69;1;45;106;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Immune system disorders";10;313;0;803;11;202;559;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Infections and infestations";338;1940;0;1520;32;759;1921;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Injury, poisoning and procedural complications";104;781;0;2173;12;137;1781;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Investigations";107;1126;0;1612;25;595;1034;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Metabolism and nutrition disorders";127;617;0;627;13;175;652;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Musculoskeletal and connective tissue disorders";110;8475;0;11516;106;5994;3401;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";28;109;0;25;1;4;99;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Nervous system disorders";562;11005;0;16723;225;6268;6730;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Pregnancy, puerperium and perinatal conditions";5;80;0;244;10;13;110;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Product issues";0;3;0;27;0;0;16;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Psychiatric disorders";94;1221;0;1517;23;335;1328;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Renal and urinary disorders";92;361;0;383;10;88;440;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Reproductive system and breast disorders";2;745;0;477;17;264;390;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Respiratory, thoracic and mediastinal disorders";532;2873;0;2985;51;974;2635;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Skin and subcutaneous tissue disorders";45;3619;0;4156;49;2028;2488;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Social circumstances";20;461;0;189;3;19;266;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Surgical and medical procedures";57;159;0;160;2;14;331;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Vascular disorders";214;1716;0;2028;40;654;1641;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Blood and lymphatic system disorders";133;7034;0;6560;186;5498;2808;"TOZINAMERAN "
"Cardiac disorders";1552;4309;0;7179;475;4177;4003;"TOZINAMERAN "
"Congenital, familial and genetic disorders";14;62;0;33;9;27;49;"TOZINAMERAN "
"Ear and labyrinth disorders";8;3797;0;3208;197;2012;1564;"TOZINAMERAN "
"Endocrine disorders";4;196;0;67;15;120;133;"TOZINAMERAN "
"Eye disorders";23;3606;0;4000;238;2469;2506;"TOZINAMERAN "
"Gastrointestinal disorders";443;14794;0;33810;754;16450;9625;"TOZINAMERAN "
"General disorders and administration site conditions";2945;48071;0;105227;1629;50723;34108;"TOZINAMERAN "
"Hepatobiliary disorders";48;180;0;142;22;237;229;"TOZINAMERAN "
"Immune system disorders";56;852;0;4239;118;1676;1907;"TOZINAMERAN "
"Infections and infestations";1022;5998;0;5487;337;5358;7692;"TOZINAMERAN "
"Injury, poisoning and procedural complications";154;1148;0;1444;86;851;6358;"TOZINAMERAN "
"Investigations";334;3901;0;7035;217;3680;5323;"TOZINAMERAN "
"Metabolism and nutrition disorders";187;1299;0;1771;81;1100;1576;"TOZINAMERAN "
"Musculoskeletal and connective tissue disorders";127;26954;0;48379;898;24636;13724;"TOZINAMERAN "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";46;180;0;37;10;49;246;"TOZINAMERAN "
"Nervous system disorders";1130;34213;0;63506;2111;30833;20785;"TOZINAMERAN "
"Pregnancy, puerperium and perinatal conditions";27;95;0;216;71;130;290;"TOZINAMERAN "
"Product issues";1;19;0;17;2;11;94;"TOZINAMERAN "
"Psychiatric disorders";136;3380;0;5093;183;2453;3665;"TOZINAMERAN "
"Renal and urinary disorders";164;606;0;686;44;449;736;"TOZINAMERAN "
"Reproductive system and breast disorders";2;4151;0;2364;141;1531;2515;"TOZINAMERAN "
"Respiratory, thoracic and mediastinal disorders";1233;8366;0;12042;543;7894;7283;"TOZINAMERAN "
"Skin and subcutaneous tissue disorders";91;9587;0;14841;350;8631;7112;"TOZINAMERAN "
"Social circumstances";13;375;0;282;11;121;546;"TOZINAMERAN "
"Surgical and medical procedures";26;100;0;115;21;89;258;"TOZINAMERAN "
"Vascular disorders";427;4875;0;7785;354;4789;4511;"TOZINAMERAN "
"Blood and lymphatic system disorders";187;4217;0;2460;125;2444;1925;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Cardiac disorders";534;3291;0;5981;438;3410;2296;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Congenital, familial and genetic disorders";3;49;0;27;2;25;29;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
